Wavelength	Flux	BestFit	SkyFlux
3791.403	-0.771	6.613	0.000
3792.277	-0.771	6.822	35.797
3793.150	4.371	6.894	33.323
3794.023	9.511	6.931	31.396
3794.897	5.313	6.846	32.301
3795.771	6.758	6.749	31.663
3796.645	8.292	6.633	31.383
3797.519	3.620	6.482	31.300
3798.394	-0.118	6.335	31.709
3799.269	3.613	6.243	32.323
3800.144	1.452	6.189	33.011
3801.019	6.187	6.163	33.933
3801.894	6.240	6.109	35.021
3802.769	8.042	6.144	36.176
3803.645	11.533	6.370	37.348
3804.521	10.685	6.590	38.305
3805.397	6.416	6.847	39.173
3806.274	4.875	6.996	40.038
3807.150	2.717	7.092	40.930
3808.027	-7.016	7.174	41.475
3808.904	3.190	7.180	41.645
3809.781	3.188	7.050	41.699
3810.658	2.969	6.936	41.477
3811.536	7.604	6.872	40.922
3812.414	11.746	6.858	39.845
3813.291	9.745	6.886	37.755
3814.170	5.954	6.916	35.000
3815.048	10.291	6.898	31.756
3815.926	6.202	6.925	27.904
3816.805	-2.526	6.911	28.024
3817.684	4.631	6.847	30.012
3818.563	5.955	6.828	32.787
3819.443	8.408	6.852	31.245
3820.322	10.479	6.736	27.390
3821.202	8.745	6.783	24.837
3822.082	7.740	6.751	25.763
3822.962	7.545	6.755	28.821
3823.843	5.759	6.882	30.233
3824.723	8.809	7.024	28.345
3825.604	5.997	7.045	24.954
3826.485	4.710	7.111	21.879
3827.366	6.106	7.225	20.459
3828.247	7.214	7.366	20.729
3829.129	7.825	7.475	22.181
3830.011	7.793	7.507	24.156
3830.893	7.873	7.531	25.944
3831.775	12.813	7.648	26.105
3832.657	8.849	7.797	24.639
3833.540	14.427	7.843	23.179
3834.423	2.828	7.833	22.687
3835.306	7.667	7.881	23.098
3836.189	10.980	7.895	24.102
3837.072	8.780	7.773	24.605
3837.956	10.518	7.684	24.118
3838.840	9.194	7.589	22.851
3839.724	7.625	7.453	21.312
3840.608	9.558	7.307	20.747
3841.493	6.393	7.181	23.357
3842.377	5.988	7.148	27.157
3843.262	7.929	7.147	30.574
3844.147	7.788	7.114	33.100
3845.032	8.751	7.026	34.436
3845.918	8.735	6.905	35.290
3846.803	4.004	6.818	35.993
3847.689	1.213	6.765	36.128
3848.575	3.329	6.606	34.936
3849.462	5.349	6.517	33.378
3850.348	2.626	6.485	32.167
3851.235	3.964	6.400	31.772
3852.122	7.455	6.428	32.449
3853.009	7.031	6.486	33.228
3853.896	5.934	6.680	33.599
3854.784	7.024	6.905	32.733
3855.671	6.810	7.094	30.512
3856.559	11.374	7.247	29.052
3857.447	8.643	7.334	29.226
3858.336	4.117	7.418	28.899
3859.224	11.151	7.370	26.010
3860.113	6.970	7.336	22.827
3861.002	4.438	7.392	22.020
3861.891	7.739	7.474	24.827
3862.780	6.985	7.537	30.084
3863.670	7.181	7.583	34.635
3864.560	14.498	7.552	35.253
3865.449	8.669	7.422	33.167
3866.340	4.533	7.281	32.437
3867.230	9.571	7.200	32.421
3868.121	7.650	7.073	32.822
3869.011	2.140	6.965	32.455
3869.902	5.325	6.985	30.801
3870.793	9.920	6.949	28.150
3871.685	8.994	6.844	25.115
3872.576	11.487	6.788	22.982
3873.468	6.107	6.722	24.049
3874.360	9.922	6.647	28.409
3875.252	9.513	6.699	33.494
3876.145	11.455	6.697	36.383
3877.037	8.480	6.615	35.492
3877.930	7.501	6.552	32.223
3878.823	6.343	6.447	29.860
3879.717	2.801	6.394	29.466
3880.610	5.119	6.289	29.810
3881.504	8.461	6.246	29.429
3882.398	4.950	6.233	27.840
3883.292	1.140	6.159	26.638
3884.186	3.216	6.158	27.892
3885.080	10.768	6.097	30.422
3885.975	7.689	5.866	30.788
3886.870	1.603	5.754	28.890
3887.765	3.692	5.844	27.298
3888.660	6.827	5.933	27.205
3889.556	3.967	5.884	26.908
3890.451	5.547	5.857	26.991
3891.347	6.333	5.829	29.784
3892.243	4.670	5.830	34.882
3893.140	5.226	5.921	37.871
3894.036	4.613	6.107	37.793
3894.933	4.526	6.282	36.806
3895.830	6.175	6.471	36.348
